Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
Industrial and Commercial Bank of China,223.8,208.13,179.04,18564.21
China Construction Bank,172.8,160.7,138.24,14333.76
Agricultural Bank of China,153.2,142.48,122.56,12707.94
Bank of China,146.9,136.62,117.52,12185.36
JPMorgan Chase,432.9,402.6,346.32,35909.06
Bank of America,231.5,215.3,185.2,19202.92
HSBC,117.9,109.65,94.32,9779.8
BNP Paribas,63.3,58.87,50.64,5250.74
Mitsubishi UFJ Financial Group,102.7,95.51,82.16,8518.96
Bank of Communications,52.3,48.64,41.84,4338.28
